1XD42-69 sp014287635
28L sp000177555
43-108 sp001915545
51-20 sp001917175
51-20 sp900539605
51-20 sp900542055
51-20 sp900762565
Absicoccus porci
Absicoccus sp000434355
Acetatifactor sp003447295
Acetatifactor sp900066365
Acetatifactor sp900066565
Acetatifactor sp900554205
Acetatifactor sp900755865
Acetatifactor sp900760705
Acetatifactor sp900766575
Acetatifactor sp900771995
Acetatifactor sp900772845
Acetivibrio_A ethanolgignens
Acetomicrobium hydrogeniformans
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus fermentans_A
Acidaminococcus intestini
Acidaminococcus massiliensis
Acidaminococcus provencensis
Acidaminococcus sp000437815
Acidaminococcus sp900538365
Acidaminococcus sp900554515
Acidaminococcus sp900770265
Acidaminococcus timonensis
Acidovorax sp000302535
Acidovorax temperans
Acinetobacter baumannii
Acinetobacter courvalinii
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter mesopotamicus
Acinetobacter nosocomialis
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter sp900766635
Acinetobacter sp900771065
Acinetobacter ursingii
Acinetobacter variabilis
Actinobaculum massiliense
Actinomyces graevenitzii
Actinomyces oris
Actinomyces sp000220835
Actinomyces sp900323545
Actinomyces urogenitalis
Acutalibacter sp000432995
Acutalibacter sp000435395
Acutalibacter sp900543305
Acutalibacter sp900543555
Acutalibacter sp900548545
Acutalibacter sp900755895
Acutalibacter sp900759575
Acutalibacter timonensis
Adlercreutzia celatus_A
Aeromicrobium massiliense
Aeromonas caviae
Aeromonas dhakensis
Aeromonas hydrophila
Aeromonas rivipollensis
Aeromonas veronii
Aeromonas veronii_A
AF33-28 sp003477885
Afipia broomeae
Agathobacter faecis
Agathobacter rectalis
Agathobacter sp000434275
Agathobacter sp900543445
Agathobacter sp900546625
Agathobacter sp900547695
Agathobacter sp900548765
Agathobacter sp900549895
Agathobacter sp900550545
Agathobacter sp900552085
Agathobaculum butyriciproducens
Agathobaculum desmolans
Agathobaculum sp003481705
Agathobaculum sp900291975
Agathobaculum sp900544475
Agathobaculum sp900555465
Agathobaculum sp900557315
Aggregatibacter segnis
Akkermansia muciniphila
Akkermansia muciniphila_A
Akkermansia muciniphila_B
Akkermansia muciniphila_C
Akkermansia sp001580195
Akkermansia sp004167605
Akkermansia sp900545155
Akkermansia sp900548895
Akkermansia sp900766865
Aliarcobacter butzleri
Alistipes_A ihumii
Alistipes_A indistinctus
Alistipes_A sp900240235
Alistipes_A sp900539755
Alistipes_A sp900545315
Alistipes_A sp900546005
Alistipes_A sp900549685
Alistipes communis
Alistipes dispar
Alistipes finegoldii
Alistipes onderdonkii
Alistipes provencensis
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alistipes sp000434235
Alistipes sp001941065
Alistipes sp002161445
Alistipes sp002358415
Alistipes sp900021155
Alistipes sp900290115
Alistipes sp900541585
Alistipes sp900542505
Alistipes sp900544265
Alistipes sp900546065
Alistipes sp900548155
Alistipes sp900549305
Alistipes sp900550375
Alistipes sp900550925
Alistipes sp900552955
Alistipes sp900553175
Alistipes sp900760675
Alistipes sp900761235
Alistipes sp900766655
Alistipes sp900768015
Alistipes sp900768045
Alistipes sp900769405
Alistipes sp900769445
Alistipes sp900769525
Alistipes sp900769745
Alistipes sp900770585
Alistipes sp900770635
Alistipes sp902363575
Alistipes sp902388705
Alistipes timonensis
Alkalihalobacillus alcalophilus
Allisonella histaminiformans
Allisonella pneumosintes
Alloprevotella tannerae
Alloscardovia omnicolens
Alterileibacterium massiliense
AM07-15 sp003477405
AM51-8 sp003478275
AM51-8 sp900546435
AM51-8 sp900761925
Amedibacillus dolichus
Amedibacterium intestinale
Amulumruptor caecigallinarius
Amulumruptor sp001689515
Amulumruptor sp900539915
Amulumruptor sp900547825
An172 sp002160515
An181 sp002160325
An23 sp900544635
An23 sp900545755
An92 sp900199495
Anaerobiospirillum sp900543125
Anaerobiospirillum succiniciproducens
Anaerobutyricum hallii
Anaerobutyricum soehngenii
Anaerobutyricum sp002161065
Anaerobutyricum sp900754855
Anaerococcus hydrogenalis
Anaerococcus jeddahensis
Anaerococcus lactolyticus
Anaerococcus nagyae
Anaerococcus obesiensis
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus prevotii_A
Anaerococcus rubeinfantis
Anaerococcus senegalensis
Anaerococcus sp900258475
