Absicoccus porci
Acetivibrio_A ethanolgignens
Acetomicrobium hydrogeniformans
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus fermentans_A
Acidaminococcus intestini
Acidaminococcus massiliensis
Acidaminococcus provencensis
Acidaminococcus timonensis
Acidovorax temperans
Acinetobacter baumannii
Acinetobacter courvalinii
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter mesopotamicus
Acinetobacter nosocomialis
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter ursingii
Acinetobacter variabilis
Actinobaculum massiliense
Actinomyces graevenitzii
Actinomyces oris
Actinomyces urogenitalis
Acutalibacter timonensis
Adlercreutzia celatus_A
Aeromicrobium massiliense
Aeromonas caviae
Aeromonas dhakensis
Aeromonas hydrophila
Aeromonas rivipollensis
Aeromonas veronii
Aeromonas veronii_A
Afipia broomeae
Agathobacter faecis
Agathobacter rectalis
Agathobaculum butyriciproducens
Agathobaculum desmolans
Aggregatibacter segnis
Akkermansia muciniphila
Akkermansia muciniphila_A
Akkermansia muciniphila_B
Akkermansia muciniphila_C
Aliarcobacter butzleri
Alistipes_A ihumii
Alistipes_A indistinctus
Alistipes communis
Alistipes dispar
Alistipes finegoldii
Alistipes onderdonkii
Alistipes provencensis
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alistipes timonensis
Alkalihalobacillus alcalophilus
Allisonella histaminiformans
Allisonella pneumosintes
Alloprevotella tannerae
Alloscardovia omnicolens
Alterileibacterium massiliense
Amedibacillus dolichus
Amedibacterium intestinale
Amulumruptor caecigallinarius
Anaerobiospirillum succiniciproducens
Anaerobutyricum hallii
Anaerobutyricum soehngenii
Anaerococcus hydrogenalis
Anaerococcus jeddahensis
Anaerococcus lactolyticus
Anaerococcus nagyae
Anaerococcus obesiensis
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus prevotii_A
Anaerococcus rubeinfantis
Anaerococcus senegalensis
Anaerococcus vaginalis_B
Anaerocolumna aminovalerica
Anaerofustis stercorihominis
Anaeroglobus geminatus
Anaeroglobus massiliensis
Anaeroglobus micronuciformis
Anaerosalibacter massiliensis
Anaerosporobacter mobilis
Anaerostipes caccae
Anaerostipes hadrus
Anaerostipes hadrus_A
Anaerostipes rhamnosivorans
Anaerotignum faecicola
Anaerotignum lactatifermentans
Anaerotruncus colihominis
Anaerotruncus massiliensis
Anaerotruncus rubiinfantis
