Absicoccus porci
Acetivibrio ethanolgignens
Acetomicrobium hydrogeniformans
Achromobacter xylosoxidans
Acidaminococcus fermentans
Acidaminococcus intestini
Acidaminococcus massiliensis
Acidaminococcus provencensis
Acidaminococcus timonensis
Acidovorax temperans
Acinetobacter baumannii
Acinetobacter courvalinii
Acinetobacter johnsonii
Acinetobacter junii
Acinetobacter mesopotamicus
Acinetobacter nosocomialis
Acinetobacter pittii
Acinetobacter radioresistens
Acinetobacter ursingii
Acinetobacter variabilis
Actinobaculum massiliense
Actinomyces graevenitzii
Actinomyces oris
Actinomyces urogenitalis
Acutalibacter timonensis
Adlercreutzia celatus
Aeromicrobium massiliense
Aeromonas caviae
Aeromonas dhakensis
Aeromonas hydrophila
Aeromonas rivipollensis
Aeromonas veronii
Afipia broomeae
Agathobacter faecis
Agathobacter rectalis
Agathobaculum butyriciproducens
Agathobaculum desmolans
Aggregatibacter segnis
Akkermansia muciniphila
Aliarcobacter butzleri
Alistipes communis
Alistipes dispar
Alistipes finegoldii
Alistipes ihumii
Alistipes indistinctus
Alistipes onderdonkii
Alistipes provencensis
Alistipes putredinis
Alistipes senegalensis
Alistipes shahii
Alistipes timonensis
Alkalihalobacillus alcalophilus
Allisonella histaminiformans
Allisonella pneumosintes
Alloprevotella tannerae
Alloscardovia omnicolens
Alterileibacterium massiliense
Amedibacillus dolichus
Amedibacterium intestinale
Amulumruptor caecigallinarius
Anaerobiospirillum succiniciproducens
Anaerobutyricum hallii
Anaerobutyricum soehngenii
Anaerococcus hydrogenalis
Anaerococcus jeddahensis
Anaerococcus lactolyticus
Anaerococcus nagyae
Anaerococcus obesiensis
Anaerococcus octavius
Anaerococcus prevotii
Anaerococcus rubeinfantis
Anaerococcus senegalensis
Anaerococcus vaginalis
Anaerocolumna aminovalerica
Anaerofustis stercorihominis
Anaeroglobus geminatus
Anaeroglobus massiliensis
Anaeroglobus micronuciformis
Anaerosalibacter massiliensis
Anaerosporobacter mobilis
Anaerostipes caccae
Anaerostipes hadrus
Anaerostipes rhamnosivorans
Anaerotignum faecicola
Anaerotignum lactatifermentans
Anaerotruncus colihominis
Anaerotruncus massiliensis
Anaerotruncus rubiinfantis
Aneurinibacillus aneurinilyticus
Arabia massiliensis
Arachnia massiliensis
Arcanobacterium urinimassiliense
Atlantibacter hermannii
Atopobium minutum
Bacilliculturomica massiliensis
Bacillus andreraoultii
Bacillus licheniformis
Bacillus luti
Bacillus massilioanorexius
Bacillus massilionigeriensis
Bacillus paralicheniformis
Bacillus paranthracis
Bacillus smithii
Bacillus sonorensis
Bacillus subtilis
Bacillus testis
Bacillus thuringiensis
Bacillus tuaregi
Bacillus wiedmannii
